Timestamp,Which format do you prefer to read from?,Choice of pairing beverage?,Do you ever listen to music while reading?,How do you want to read paperbacks/hardcovers ?,How many books have you read during the last six months?,Do you want to connect with fellow book readers?,What genres do you enjoy reading?
3/9/2021 12:59:56,Ebook,Coffee,"Yes, like my life",I wish I could read them without buying a lot of books,10,Yes! no. Well maybe....,Computer Science and Maths books
3/9/2021 13:06:09,Paperback,I do not drink but I know things,Nope,I wish I could read them without buying a lot of books,4,Yes! no. Well maybe....,"Fiction, Science fiction, Business, Literature, Philosophy, Religion, History, Politics, Travel, Something else"
3/9/2021 13:08:04,Hard cover,Coffee,Nope,I want to build a library duh!,6,Yes,"Fiction, Science fiction"
3/9/2021 13:57:46,Hard cover,I do not drink but I know things,Nope,I want to build a library duh!,6,Yes,"Fiction, Philosophy, Humour, Romance, Something else, Thriller "
3/9/2021 14:06:15,Paperback,Tea,"Yes, like my life",I wish I could read them without buying a lot of books,3,Yes,"Fiction, Literature, Humour"
3/9/2021 15:12:16,Hard cover,I do not drink but I know things,"Yes, like my life",I wish I could read them without buying a lot of books,5,Yes,"Fiction, Business, Literature, Religion, History, Romance"
3/9/2021 15:52:17,Paperback,I do not drink but I know things,Nope,I wish I could read them without buying a lot of books,5,Yes,"Philosophy, Religion"
3/9/2021 16:18:16,Paperback,I do not drink but I know things,Nope,I wish I could read them without buying a lot of books,3,Yes,"Science fiction, Business"
3/9/2021 19:45:03,Paperback,Tea,Nope,I want to build a library duh!,3,Yes,"Fiction, Science fiction, Business, Philosophy, Biography, Travel"
3/9/2021 21:44:26,Hard cover,Coffee,"Yes, like my life",I wish I could read them without buying a lot of books,3,Yes,"Film and photography, Biography, Travel"
3/10/2021 10:26:57,Paperback,Tea,Nope,I want to build a library duh!,3,Yes,"Fiction, Biography"
3/11/2021 18:24:38,Paperback,Coffee,Nope,I want to build a library duh!,5,Yes,"Fiction, Science fiction, Literature, Philosophy, History, Politics, Romance"
3/11/2021 20:13:12,Hard cover,I do not drink but I know things,Nope,I want to build a library duh!,7,Yes! no. Well maybe....,"Fiction, Science fiction, Humour"
3/13/2021 13:58:56,Paperback,Coffee,Nope,I wish I could read them without buying a lot of books,5,Yes! no. Well maybe....,"Fiction, Science fiction, Religion, Film and photography, Humour, Romance, Travel"
3/14/2021 21:50:58,Paperback,I do not drink but I know things,Nope,I wish I could read them without buying a lot of books,1,Yes! no. Well maybe....,Something else
3/15/2021 0:13:19,Paperback,Tea,Nope,I wish I could read them without buying a lot of books,1,Yes,"Fiction, Science fiction, Biography, Humour, Romance"
3/18/2021 18:52:25,Paperback,Coffee,Nope,I wish I could read them without buying a lot of books,4,Yes,"Literature, Philosophy, Religion, History, Humour, Romance, Travel"
